Time Step,Stress Period,Time,CLN Node 1,CLN Node 2,CLN Node 3
1.0,1.0,1.1556824445724487,0.07832659035921097,0.07725952565670013,0.06482512503862381
2.0,1.0,2.542501211166382,0.09593524783849716,0.09572254121303558,0.09112739562988281
3.0,1.0,4.206684112548828,0.09934632480144501,0.09931199997663498,0.09824169427156448
4.0,1.0,6.2037034034729,0.09991025179624557,0.09990553557872772,0.09971746057271957
5.0,1.0,8.600127220153809,0.09998951852321625,0.09998896718025208,0.09996267408132553
6.0,1.0,11.475834846496582,0.09999896585941315,0.09999890625476837,0.099995918571949
7.0,1.0,14.926685333251953,0.09999991208314896,0.09999991208314896,0.09999962896108627
8.0,1.0,19.067705154418945,0.09999999403953552,0.09999999403953552,0.09999997168779373
9.0,1.0,24.036930084228516,0.10000000149011612,0.10000000149011612,0.10000000149011612
10.0,1.0,29.999998092651367,0.10000000149011612,0.10000000149011612,0.10000000149011612
1.0,2.0,31.155681610107422,0.10000000149011612,0.10000000149011612,0.10000000149011612
2.0,2.0,32.54249954223633,0.10000000149011612,0.10000000149011612,0.10000000149011612
3.0,2.0,34.20668411254883,0.10000000149011612,0.10000000149011612,0.10000000149011612
4.0,2.0,36.20370101928711,0.10000000149011612,0.10000000149011612,0.10000000149011612
5.0,2.0,38.60012435913086,0.10000000149011612,0.10000000149011612,0.10000000149011612
6.0,2.0,41.475833892822266,0.10000000149011612,0.10000000149011612,0.10000000149011612
7.0,2.0,44.92668533325195,0.10000000149011612,0.10000000149011612,0.10000000149011612
8.0,2.0,49.06770324707031,0.10000000149011612,0.10000000149011612,0.10000000149011612
9.0,2.0,54.036930084228516,0.10000000149011612,0.10000000149011612,0.10000000149011612
10.0,2.0,59.999996185302734,0.10000000149011612,0.10000000149011612,0.10000000149011612
1.0,3.0,61.15568161010742,0.10000000149011612,0.10000000149011612,0.10000000149011612
2.0,3.0,62.54249954223633,0.10000000149011612,0.10000000149011612,0.10000000149011612
3.0,3.0,64.20668029785156,0.10000000149011612,0.10000000149011612,0.10000000149011612
4.0,3.0,66.20370483398438,0.10000000149011612,0.10000000149011612,0.10000000149011612
5.0,3.0,68.60012817382812,0.10000000149011612,0.10000000149011612,0.10000000149011612
6.0,3.0,71.475830078125,0.10000000149011612,0.10000000149011612,0.10000000149011612
7.0,3.0,74.92668151855469,0.10000000149011612,0.10000000149011612,0.10000000149011612
8.0,3.0,79.06770324707031,0.10000000149011612,0.10000000149011612,0.10000000149011612
9.0,3.0,84.03692626953125,0.10000000149011612,0.10000000149011612,0.10000000149011612
10.0,3.0,90.0,0.10000000149011612,0.10000000149011612,0.10000000149011612
1.0,4.0,91.15567779541016,0.10000000149011612,0.10000000149011612,0.10000000149011612
2.0,4.0,92.54249572753906,0.10000000149011612,0.10000000149011612,0.10000000149011612
3.0,4.0,94.20668029785156,0.10000000149011612,0.10000000149011612,0.10000000149011612
4.0,4.0,96.20369720458984,0.10000000149011612,0.10000000149011612,0.10000000149011612
5.0,4.0,98.6001205444336,0.10000000149011612,0.10000000149011612,0.10000000149011612
6.0,4.0,101.475830078125,0.10000000149011612,0.10000000149011612,0.10000000149011612
7.0,4.0,104.92668151855469,0.10000000149011612,0.10000000149011612,0.10000000149011612
8.0,4.0,109.06770324707031,0.10000000149011612,0.10000000149011612,0.10000000149011612
9.0,4.0,114.03692626953125,0.10000000149011612,0.10000000149011612,0.10000000149011612
10.0,4.0,119.99999237060547,0.10000000149011612,0.10000000149011612,0.10000000149011612
1.0,5.0,121.15567779541016,0.10000000149011612,0.10000000149011612,0.10000000149011612
2.0,5.0,122.54249572753906,0.10000000149011612,0.10000000149011612,0.10000000149011612
3.0,5.0,124.20668029785156,0.10000000149011612,0.10000000149011612,0.10000000149011612
4.0,5.0,126.20369720458984,0.10000000149011612,0.10000000149011612,0.10000000149011612
5.0,5.0,128.60012817382812,0.10000000149011612,0.10000000149011612,0.10000000149011612
6.0,5.0,131.475830078125,0.10000000149011612,0.10000000149011612,0.10000000149011612
7.0,5.0,134.9266815185547,0.10000000149011612,0.10000000149011612,0.10000000149011612
8.0,5.0,139.0677032470703,0.10000000149011612,0.10000000149011612,0.10000000149011612
9.0,5.0,144.03692626953125,0.10000000149011612,0.10000000149011612,0.10000000149011612
10.0,5.0,150.0,0.10000000149011612,0.10000000149011612,0.10000000149011612
1.0,6.0,151.15567016601562,0.10000000149011612,0.10000000149011612,0.10000000149011612
2.0,6.0,152.54249572753906,0.10000000149011612,0.10000000149011612,0.10000000149011612
3.0,6.0,154.20668029785156,0.10000000149011612,0.10000000149011612,0.10000000149011612
4.0,6.0,156.20370483398438,0.10000000149011612,0.10000000149011612,0.10000000149011612
5.0,6.0,158.60012817382812,0.10000000149011612,0.10000000149011612,0.10000000149011612
6.0,6.0,161.475830078125,0.10000000149011612,0.10000000149011612,0.10000000149011612
7.0,6.0,164.9266815185547,0.10000000149011612,0.10000000149011612,0.10000000149011612
8.0,6.0,169.0677032470703,0.10000000149011612,0.10000000149011612,0.10000000149011612
9.0,6.0,174.03692626953125,0.10000000149011612,0.10000000149011612,0.10000000149011612
10.0,6.0,180.0,0.10000000149011612,0.10000000149011612,0.10000000149011612
1.0,7.0,181.15567016601562,0.10000000149011612,0.10000000149011612,0.10000000149011612
2.0,7.0,182.54249572753906,0.10000000149011612,0.10000000149011612,0.10000000149011612
3.0,7.0,184.20668029785156,0.10000000149011612,0.10000000149011612,0.10000000149011612
4.0,7.0,186.2036895751953,0.10000000149011612,0.10000000149011612,0.10000000149011612
