Time Step,Stress Period,Time,CLN Node 1,CLN Node 2,CLN Node 3
1.0,1.0,1.1556824445724487,65.02094268798828,65.02094268798828,65.02094268798828
2.0,1.0,2.542501211166382,62.86296081542969,62.86296081542969,62.86295700073242
3.0,1.0,4.206684112548828,61.65329360961914,61.65329360961914,61.65329360961914
4.0,1.0,6.2037034034729,60.79526138305664,60.79526138305664,60.795257568359375
5.0,1.0,8.600127220153809,60.11175537109375,60.111751556396484,60.111751556396484
6.0,1.0,11.475834846496582,59.53054428100586,59.530540466308594,59.530540466308594
7.0,1.0,14.926685333251953,59.012916564941406,59.012916564941406,59.01291275024414
8.0,1.0,19.067705154418945,58.533565521240234,58.53356170654297,58.53356170654297
9.0,1.0,24.036930084228516,58.07262420654297,58.07262420654297,58.07262420654297
10.0,1.0,29.999998092651367,57.61168670654297,57.61168670654297,57.61168670654297
1.0,2.0,31.155681610107422,57.52538299560547,57.5253791809082,57.5253791809082
2.0,2.0,32.54249954223633,57.42555236816406,57.42555236816406,57.4255485534668
3.0,2.0,34.20668411254883,57.31028747558594,57.31028747558594,57.31028747558594
4.0,2.0,36.20370101928711,57.17734146118164,57.177337646484375,57.177337646484375
5.0,2.0,38.60012435913086,57.02401351928711,57.024009704589844,57.024009704589844
6.0,2.0,41.475833892822266,56.847007751464844,56.847007751464844,56.847007751464844
7.0,2.0,44.92668533325195,56.64225387573242,56.64225387573242,56.64225387573242
8.0,2.0,49.06770324707031,56.40468215942383,56.40468215942383,56.40468215942383
9.0,2.0,54.036930084228516,56.12800979614258,56.12800979614258,56.12800979614258
10.0,2.0,59.999996185302734,55.80452346801758,55.80451965332031,55.80451965332031
1.0,3.0,61.15568161010742,55.742122650146484,55.742122650146484,55.742122650146484
2.0,3.0,62.54249954223633,55.66763687133789,55.66763687133789,55.66763687133789
3.0,3.0,64.20668029785156,55.57876205444336,55.578758239746094,55.578758239746094
4.0,3.0,66.20370483398438,55.47276306152344,55.47276306152344,55.47276306152344
5.0,3.0,68.60012817382812,55.34639358520508,55.34639358520508,55.34639358520508
6.0,3.0,71.475830078125,55.1957893371582,55.1957893371582,55.19578552246094
7.0,3.0,74.92668151855469,55.0163459777832,55.0163459777832,55.0163459777832
8.0,3.0,79.06770324707031,54.80259323120117,54.80259323120117,54.80259323120117
9.0,3.0,84.03692626953125,54.54801940917969,54.54801940917969,54.54801559448242
10.0,3.0,90.0,54.24488830566406,54.24488830566406,54.24488830566406
1.0,4.0,91.15567779541016,54.18622589111328,54.18622589111328,54.18622589111328
2.0,4.0,92.54249572753906,54.11595153808594,54.11595153808594,54.11594772338867
3.0,4.0,94.20668029785156,54.03178405761719,54.03178405761719,54.03178405761719
4.0,4.0,96.20369720458984,53.93101119995117,53.93101119995117,53.931007385253906
5.0,4.0,98.6001205444336,53.81039047241211,53.81039047241211,53.81039047241211
6.0,4.0,101.475830078125,53.666072845458984,53.66606903076172,53.66606903076172
7.0,4.0,104.92668151855469,53.49345779418945,53.49345779418945,53.49345779418945
8.0,4.0,109.06770324707031,53.28710174560547,53.2870979309082,53.2870979309082
9.0,4.0,114.03692626953125,53.04051208496094,53.04051208496094,53.04051208496094
10.0,4.0,119.99999237060547,52.74601745605469,52.74601745605469,52.74601364135742
1.0,5.0,121.15567779541016,52.68899154663086,52.68899154663086,52.68899154663086
2.0,5.0,122.54249572753906,52.62063980102539,52.62063980102539,52.620635986328125
3.0,5.0,124.20668029785156,52.538719177246094,52.538719177246094,52.53871536254883
4.0,5.0,126.20369720458984,52.4405632019043,52.4405632019043,52.44055938720703
5.0,5.0,128.60012817382812,52.32298278808594,52.32298278808594,52.32298278808594
6.0,5.0,131.475830078125,52.18217849731445,52.18217849731445,52.18217849731445
7.0,5.0,134.9266815185547,52.01362228393555,52.01362228393555,52.01362228393555
8.0,5.0,139.0677032470703,51.811927795410156,51.811927795410156,51.811927795410156
9.0,5.0,144.03692626953125,51.5706901550293,51.57068634033203,51.57068634033203
10.0,5.0,150.0,51.28230285644531,51.28230285644531,51.28230285644531
1.0,6.0,151.15567016601562,51.2264518737793,51.2264518737793,51.2264518737793
2.0,6.0,152.54249572753906,51.15949249267578,51.15949249267578,51.15949249267578
3.0,6.0,154.20668029785156,51.0792236328125,51.0792236328125,51.079219818115234
4.0,6.0,156.20370483398438,50.9830207824707,50.98301696777344,50.98301696777344
5.0,6.0,158.60012817382812,50.86774444580078,50.86774444580078,50.867740631103516
6.0,6.0,161.475830078125,50.729652404785156,50.729652404785156,50.729652404785156
7.0,6.0,164.9266815185547,50.56428527832031,50.56428527832031,50.56428527832031
8.0,6.0,169.0677032470703,50.36632537841797,50.3663215637207,50.3663215637207
9.0,6.0,174.03692626953125,50.12944793701172,50.12944793701172,50.12944412231445
10.0,6.0,180.0,49.84614562988281,49.84614562988281,49.84614562988281
1.0,7.0,181.15567016601562,49.79127502441406,49.79127502441406,49.79127502441406
2.0,7.0,182.54249572753906,49.72548294067383,49.72548294067383,49.72548294067383
3.0,7.0,184.20668029785156,49.646602630615234,49.646602630615234,49.646602630615234
4.0,7.0,186.2036895751953,49.55205154418945,49.55205154418945,49.55205154418945
5.0,7.0,188.60011291503906,49.43873977661133,49.43873977661133,49.43873977661133
6.0,7.0,191.475830078125,49.302978515625,49.302978515625,49.302974700927734
7.0,7.0,194.9266815185547,49.14036178588867,49.14036178588867,49.14036178588867
8.0,7.0,199.0677032470703,48.94565200805664,48.94565200805664,48.94565200805664
9.0,7.0,204.03692626953125,48.712608337402344,48.71260452270508,48.71260452270508
10.0,7.0,209.99998474121094,48.433807373046875,48.433807373046875,48.433807373046875
1.0,8.0,211.15567016601562,48.37980651855469,48.37980651855469,48.37980651855469
2.0,8.0,212.54249572753906,48.3150520324707,48.3150520324707,48.3150520324707
3.0,8.0,214.20668029785156,48.23741149902344,48.23741149902344,48.23741149902344
4.0,8.0,216.2036895751953,48.14433670043945,48.14433670043945,48.14433670043945
5.0,8.0,218.60011291503906,48.03278350830078,48.03278350830078,48.03278350830078
6.0,8.0,221.475830078125,47.899112701416016,47.899112701416016,47.899112701416016
7.0,8.0,224.9266815185547,47.738983154296875,47.73897933959961,47.73897933959961
8.0,8.0,229.0677032470703,47.54721450805664,47.54721450805664,47.54721450805664
9.0,8.0,234.03692626953125,47.31765365600586,47.31765365600586,47.31765365600586
10.0,8.0,239.99998474121094,47.042972564697266,47.04296875,47.04296875
1.0,9.0,241.15567016601562,46.98976516723633,46.98976516723633,46.98976516723633
2.0,9.0,242.54249572753906,46.925960540771484,46.925960540771484,46.925960540771484
3.0,9.0,244.20668029785156,46.849456787109375,46.849456787109375,46.84945297241211
4.0,9.0,246.2036895751953,46.75774002075195,46.75773620605469,46.75773620605469
5.0,9.0,248.60011291503906,46.64780044555664,46.64780044555664,46.64780044555664
6.0,9.0,251.475830078125,46.516056060791016,46.516056060791016,46.516056060791016
7.0,9.0,254.9266815185547,46.358219146728516,46.358219146728516,46.358219146728516
8.0,9.0,259.06768798828125,46.1691780090332,46.1691780090332,46.1691780090332
9.0,9.0,264.03692626953125,45.94285202026367,45.942848205566406,45.942848205566406
10.0,9.0,270.0,45.6719970703125,45.6719970703125,45.671993255615234
1.0,10.0,271.1556701660156,45.619529724121094,45.619529724121094,45.619529724121094
2.0,10.0,272.54248046875,45.556610107421875,45.556610107421875,45.556610107421875
3.0,10.0,274.2066650390625,45.48116683959961,45.481163024902344,45.481163024902344
4.0,10.0,276.2037048339844,45.39071273803711,45.39071273803711,45.39071273803711
5.0,10.0,278.6001281738281,45.28228759765625,45.282283782958984,45.282283782958984
6.0,10.0,281.475830078125,45.15234375,45.15234375,45.152339935302734
7.0,10.0,284.9266662597656,44.99665069580078,44.99665069580078,44.99665069580078
8.0,10.0,289.06768798828125,44.81016540527344,44.81016540527344,44.81016159057617
9.0,10.0,294.03692626953125,44.58687210083008,44.58686828613281,44.58686828613281
10.0,10.0,300.0,44.31961441040039,44.31961441040039,44.31961441040039
1.0,11.0,301.1556701660156,44.267845153808594,44.267845153808594,44.267845153808594
2.0,11.0,302.54248046875,44.20576095581055,44.20576095581055,44.20575714111328
3.0,11.0,304.2066650390625,44.131309509277344,44.131309509277344,44.131309509277344
4.0,11.0,306.2037048339844,44.042049407958984,44.042049407958984,44.04204559326172
5.0,11.0,308.6001281738281,43.9350471496582,43.93504333496094,43.93504333496094
6.0,11.0,311.475830078125,43.806800842285156,43.806800842285156,43.80679702758789
7.0,11.0,314.9266662597656,43.653133392333984,43.653133392333984,43.653133392333984
8.0,11.0,319.06768798828125,43.469058990478516,43.469058990478516,43.469058990478516
9.0,11.0,324.03692626953125,43.248634338378906,43.248634338378906,43.24863052368164
10.0,11.0,330.0,42.98478317260742,42.98478317260742,42.98478317260742
1.0,12.0,331.1556701660156,42.93367385864258,42.93367385864258,42.93367004394531
2.0,12.0,332.54248046875,42.87237548828125,42.87237548828125,42.87237548828125
3.0,12.0,334.2066650390625,42.79887008666992,42.79887008666992,42.79887008666992
4.0,12.0,336.2037048339844,42.71073532104492,42.71073532104492,42.71073532104492
5.0,12.0,338.6001281738281,42.60508346557617,42.605079650878906,42.605079650878906
6.0,12.0,341.475830078125,42.47844696044922,42.47844696044922,42.47844696044922
7.0,12.0,344.9266662597656,42.32670211791992,42.32670211791992,42.326698303222656
8.0,12.0,349.06768798828125,42.14491653442383,42.14491653442383,42.14491271972656
9.0,12.0,354.03692626953125,41.927215576171875,41.92721176147461,41.92721176147461
10.0,12.0,360.0,41.666603088378906,41.66659927368164,41.66659927368164
1.0,13.0,361.1556701660156,41.61611557006836,41.61611557006836,41.61611557006836
2.0,13.0,362.54248046875,41.55556869506836,41.55556869506836,41.55556869506836
3.0,13.0,364.2066650390625,41.48295974731445,41.48295974731445,41.48295974731445
4.0,13.0,366.2037048339844,41.39590072631836,41.39590072631836,41.395896911621094
5.0,13.0,368.6001281738281,41.291526794433594,41.291526794433594,41.291526794433594
6.0,13.0,371.475830078125,41.16642379760742,41.16642379760742,41.16642379760742
7.0,13.0,374.9266662597656,41.01650619506836,41.01650619506836,41.01650619506836
8.0,13.0,379.06768798828125,40.8369026184082,40.83689880371094,40.83689880371094
9.0,13.0,384.03692626953125,40.621795654296875,40.62179183959961,40.62179183959961
10.0,13.0,390.0,40.36426544189453,40.36426544189453,40.36426544189453
1.0,14.0,391.1556701660156,40.31437683105469,40.31437683105469,40.31437683105469
2.0,14.0,392.54248046875,40.25454330444336,40.25454330444336,40.25454330444336
3.0,14.0,394.2066650390625,40.18279266357422,40.18278884887695,40.18278884887695
4.0,14.0,396.20367431640625,40.09675216674805,40.09675216674805,40.09675216674805
5.0,14.0,398.60009765625,39.99416732788086,39.99416732788086,39.99416732788086
6.0,14.0,401.475830078125,39.87944412231445,39.87944412231445,39.87944412231445
7.0,14.0,404.9266662597656,39.73311233520508,39.73311233520508,39.73311233520508
8.0,14.0,409.06768798828125,39.55637741088867,39.55637741088867,39.55637741088867
9.0,14.0,414.03692626953125,39.344261169433594,39.344261169433594,39.34425735473633
10.0,14.0,419.9999694824219,39.0900764465332,39.0900764465332,39.09007263183594
1.0,15.0,421.1556701660156,39.040828704833984,39.040828704833984,39.04082489013672
2.0,15.0,422.54248046875,38.981754302978516,38.981754302978516,38.981754302978516
3.0,15.0,424.2066650390625,38.91090393066406,38.9109001159668,38.9109001159668
4.0,15.0,426.20367431640625,38.82593536376953,38.82593536376953,38.82593536376953
5.0,15.0,428.60009765625,38.724056243896484,38.724056243896484,38.724056243896484
6.0,15.0,431.475830078125,38.60192108154297,38.60192108154297,38.60192108154297
7.0,15.0,434.9266662597656,38.45553970336914,38.45553970336914,38.455535888671875
8.0,15.0,439.06768798828125,38.28013610839844,38.28013610839844,38.28013610839844
9.0,15.0,444.03692626953125,38.07002639770508,38.07002639770508,38.07002639770508
10.0,15.0,449.9999694824219,37.81843566894531,37.81843566894531,37.81843185424805
1.0,16.0,451.1556701660156,37.76969528198242,37.76969528198242,37.76969528198242
2.0,16.0,452.54248046875,37.71123504638672,37.71123504638672,37.71123504638672
3.0,16.0,454.2066650390625,37.64112854003906,37.6411247253418,37.6411247253418
4.0,16.0,456.20367431640625,37.55705642700195,37.55705642700195,37.55705642700195
5.0,16.0,458.60009765625,37.456260681152344,37.45625686645508,37.45625686645508
6.0,16.0,461.475830078125,37.335426330566406,37.335426330566406,37.33542251586914
7.0,16.0,464.9266662597656,37.19060516357422,37.19060516357422,37.19060134887695
8.0,16.0,469.06768798828125,37.01707458496094,37.01707458496094,37.01707077026367
9.0,16.0,474.03692626953125,36.8092041015625,36.8092041015625,36.8092041015625
10.0,16.0,479.9999694824219,36.56028366088867,36.56028366088867,36.56028366088867
1.0,17.0,481.1556701660156,36.512062072753906,36.51205825805664,36.51205825805664
2.0,17.0,482.54248046875,36.454219818115234,36.454219818115234,36.454219818115234
3.0,17.0,484.2066650390625,36.384857177734375,36.38485336303711,36.38485336303711
4.0,17.0,486.20367431640625,36.301673889160156,36.301673889160156,36.30167007446289
5.0,17.0,488.60009765625,36.20193862915039,36.20193862915039,36.20193862915039
6.0,17.0,491.475830078125,36.08237838745117,36.082374572753906,36.082374572753906
7.0,17.0,494.9266662597656,35.9390754699707,35.93907165527344,35.93907165527344
8.0,17.0,499.06768798828125,35.767356872558594,35.767356872558594,35.767356872558594
9.0,17.0,504.0368957519531,35.561649322509766,35.5616455078125,35.5616455078125
10.0,17.0,509.9999694824219,35.3152961730957,35.3152961730957,35.3152961730957
1.0,18.0,511.1556701660156,35.267574310302734,35.26757049560547,35.26757049560547
2.0,18.0,512.54248046875,35.210330963134766,35.2103271484375,35.2103271484375
3.0,18.0,514.2066650390625,35.14167404174805,35.14167404174805,35.14167404174805
4.0,18.0,516.2036743164062,35.059349060058594,35.05934524536133,35.05934524536133
5.0,18.0,518.60009765625,34.96063232421875,34.96063232421875,34.96063232421875
6.0,18.0,521.475830078125,34.84229278564453,34.84229278564453,34.842288970947266
7.0,18.0,524.9266357421875,34.70044708251953,34.70044708251953,34.700443267822266
8.0,18.0,529.0676879882812,34.53046798706055,34.53046798706055,34.53046417236328
9.0,18.0,534.0369262695312,34.32682800292969,34.32682800292969,34.32682800292969
10.0,18.0,540.0,34.082942962646484,34.082942962646484,34.082942962646484
1.0,19.0,541.1556396484375,34.03569793701172,34.03569412231445,34.03569412231445
2.0,19.0,542.54248046875,33.97902297973633,33.97902297973633,33.97902297973633
3.0,19.0,544.2066650390625,33.91105651855469,33.91105270385742,33.91105270385742
4.0,19.0,546.2036743164062,33.82954406738281,33.82954406738281,33.82954406738281
5.0,19.0,548.60009765625,33.731807708740234,33.731807708740234,33.731807708740234
6.0,19.0,551.475830078125,33.6146354675293,33.6146354675293,33.6146354675293
7.0,19.0,554.9266357421875,33.47418975830078,33.474185943603516,33.474185943603516
8.0,19.0,559.0676879882812,33.30587387084961,33.30587387084961,33.30587387084961
9.0,19.0,564.0369262695312,33.10422134399414,33.10422134399414,33.10422134399414
10.0,19.0,570.0,32.862701416015625,32.86269760131836,32.86269760131836
1.0,20.0,571.1556396484375,32.81591033935547,32.8159065246582,32.8159065246582
2.0,20.0,572.54248046875,32.75978469848633,32.75978088378906,32.75978088378906
3.0,20.0,574.2066650390625,32.69247055053711,32.692466735839844,32.692466735839844
4.0,20.0,576.2036743164062,32.61174392700195,32.61174392700195,32.61174011230469
5.0,20.0,578.60009765625,32.51494598388672,32.51494598388672,32.51494598388672
6.0,20.0,581.475830078125,32.398895263671875,32.398895263671875,32.39889144897461
7.0,20.0,584.9266357421875,32.25978469848633,32.25978469848633,32.25978088378906
8.0,20.0,589.0676879882812,32.09306716918945,32.09306716918945,32.09306716918945
9.0,20.0,594.0369262695312,31.89331817626953,31.89331817626953,31.8933162689209
10.0,20.0,600.0,31.65406036376953,31.6540584564209,31.6540584564209
